,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category_Anti-Aging,category_BB_&_CC_Cream,category_Bath_&_Shower,category_Beauty_Supplements,category_Blemish_&_Acne_Treatments,category_Blotting_Papers,category_Body_Lotions_&_Body_Oils,category_Cellulite_&_Stretch_Marks,category_Decollete_&_Neck_Creams,category_Exfoliators,category_Eye_Creams_&_Treatments,category_Eye_Masks,category_Face_Masks,category_Face_Oils,category_Face_Primer,category_Face_Serums,category_Face_Sunscreen,category_Face_Wash_&_Cleansers,category_Facial_Peels,category_Foundation,category_Hair_Oil,category_Highlighter,category_Holistic_Wellness,category_Mini_Size,category_Mists_&_Essences,category_Moisturizer_&_Treatments,category_Moisturizers,category_Night_Creams,category_Setting_Spray_&_Powder,category_Sheet_Masks,category_Skincare,category_Tinted_Moisturizer,category_Toners,category_Tools,category_Value_&_Gift_Sets,reviews_to_loves_ratio,return_on_reviews,price_per_ounce
336,Kiehl's Since 1851,Ultra Facial Overnight Hydrating Mask,35.0,51,10664,4.4118,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.48,8.65,8.33
337,Shiseido,Bio-Performance Advanced Super Restoring Cream,127.0,41,3695,4.3659,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.11,10.65,48.85
338,AMOREPACIFIC,Treatment Cleansing Oil Face & Eyes,50.0,274,6364,4.1861,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,1.53,7.35
339,Go-To ,Face Hero,34.0,92,9941,4.6413,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,5.04,34.0
340,Tata Harper,Crème Riche Velvet Moisturizing Cream,185.0,11,898,4.0909,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.22,37.19,108.82
341,Naturally Serious,Skin Warrior Anti-Pollution Repair Cream,46.0,47,1258,3.8511,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.74,8.19,27.06
342,Skinfix,Barrier+ Lipid-Peptide Lotion,38.0,4,512,5.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.78,125.0,22.35
343,Shiseido,Bio-Performance Glow Revival Cream,108.0,29,3587,4.8276,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.81,16.65,63.53
344,J.One,Jelly Pack,42.0,337,21617,4.3383,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.56,1.29,24.85
345,Shiseido,White Lucent MultiBright Night Cream,92.0,27,4083,4.1481,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.66,15.36,54.12
346,boscia,Green Tea Oil-free Moisturizer,38.0,88,6355,4.1818,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.38,4.75,22.35
347,Tata Harper,Clarifying Moisturizer,110.0,53,3289,3.7925,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.61,7.16,64.71
348,CLINIQUE,Smart Night Custom-Repair Moisturizer - Very Dry to Dry,58.0,21,4824,4.6667,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.44,22.22,34.12
349,Shiseido,Benefiance WrinkleResist24 Balancing Softener Enriched,45.0,85,6235,4.5882,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.36,5.4,
350,First Aid Beauty,Ultra Repair® Pure Mineral Sunscreen Moisturizer Broad Spectrum SPF 40,30.0,205,10473,3.6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.96,1.76,15.0
351,GLAMGLOW,Good in Bed™ Passionfruit Softening Night Cream,54.0,442,18099,4.2353,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.44,0.96,36.0
352,CLINIQUE,Moisture Surge Face Spray,25.5,231,18557,4.3377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.24,1.88,6.07
354,Omorovicza,Balancing Moisturiser,140.0,35,3128,4.4,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.12,12.57,82.35
355,Estée Lauder,Daywear Advanced Multi-Protection Anti-Oxidant Creme Oil-Free Broad Spectrum SPF 25,54.0,37,3299,3.8108,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.12,10.3,31.76
356,Murad,Perfecting Day Cream Broad Spectrum SPF 30 PA+++,56.0,152,4888,4.2171,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.11,2.77,32.94
357,Dermalogica,Skin Smoothing Cream Moisturizer,69.0,67,155,4.4627,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43.23,6.66,20.29
358,Lancôme,ABSOLUE PREMIUM Bx - Absolute Night Recovery Cream,205.0,25,1556,4.04,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.61,16.16,78.85
359,Peter Thomas Roth,Green Releaf Calming Face Oil,68.0,397,2485,4.5894,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,1.16,68.0
360,Clarins,Hydra-Essentiel Silky Cream - Normal to Dry Skin,48.0,67,4093,4.4328,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.64,6.62,28.24
361,Kiehl's Since 1851,Powerful Wrinkle Reducing Cream,58.0,8,1583,4.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.51,50.0,34.12
362,L'Occitane,Immortelle Reset Overnight Reset Oil-In Serum,59.0,3,575,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,166.67,59.0
363,Shiseido,Ibuki Beauty Sleeping Mask,40.0,306,24346,4.366,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,1.43,14.29
364,bareMinerals,BUTTER DRENCH™ Restorative Rich Cream Moisturizer,38.0,75,5724,4.6933,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.31,6.26,22.35
366,REN Clean Skincare,Bio Retinoid Anti-Wrinkle Concentrate Oil,69.0,106,8888,4.1604,1.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,3.92,67.65
367,Fresh,Crème Ancienne® Soft Cream,148.0,37,4239,4.2432,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.87,11.47,148.0
368,La Mer,The Moisturizing Soft Lotion,270.0,13,2394,3.4615,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.54,26.63,158.82
369,Origins,Plantscription™ Powerful Lifting Neck & Décolleté Treatment,64.0,24,4390,4.0417,1.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,16.84,37.65
370,GLAMGLOW,GLOWSETTER™ Makeup Setting Spray,32.0,254,31219,4.2323,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.81,1.67,8.65
371,philosophy,Take a Deep Breath Oil-Free Oxygenating Gel Cream,37.0,139,5078,3.9281,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.74,2.83,18.5
372,Fresh,Seaberry Skin Nutrition Cleansing Oil,43.0,158,12319,4.5063,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,2.85,
373,Kate Somerville,Age Arrest Anti-Wrinkle Cream,90.0,68,3293,4.0588,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.06,5.97,52.94
374,Algenist,POWER Advanced Wrinkle Fighter Moisturizer,85.0,62,3560,4.3548,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.74,7.02,42.5
375,Kate Somerville,Dry Skin Saver,48.0,57,6027,4.6842,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.95,8.22,12.0
376,KORRES,Black Pine Antiaging Firming & Lifting Day Cream,58.0,61,1240,4.2295,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.92,6.93,42.96
377,Lancôme,Rénergie Lift Multi-Action Sunscreen Broad Spectrum SPF 15 For All Skin Types,99.0,26,1715,3.8846,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.52,14.94,58.58
378,Skinfix,Barrier+ Lipid-Peptide Cream,50.0,3,564,5.0,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.53,166.67,29.41
379,Kate Somerville,Nourish Daily Moisturizer,65.0,262,8280,4.0878,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.16,1.56,38.24
380,Dior,Capture Youth Age-Delay Advanced Crème,95.0,32,2751,4.0312,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.16,12.6,55.88
381,Tata Harper,Repairative Moisturizer,110.0,106,3617,3.4151,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.93,3.22,64.71
382,Perricone MD,High Potency Classics: Hyaluronic Intensive Moisturizer,69.0,265,4266,4.4604,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.21,1.68,69.0
383,Shiseido,Essential Energy Moisturizing Cream,48.0,17,2093,4.3529,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.81,25.61,28.24
384,Peter Thomas Roth,Green Releaf Therapeutic Sleep Cream,65.0,479,4403,4.3299,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.88,0.9,38.24
385,Caudalie,Vinopure Natural Oil Control Moisturizer,39.0,37,4810,3.8108,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.77,10.3,30.0
386,Tata Harper,Hydrating Floral Essence ,68.0,65,7019,3.8154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.93,5.87,40.0
387,Estée Lauder,Advanced Night Repair Intensive Recovery Ampoules,115.0,16,4785,4.875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,30.47,
388,boscia,Balancing Facial Tonic,26.0,480,16996,4.2979,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.82,0.9,5.2
389,Biossance,Squalane + Tea Tree Balancing Oil,49.0,193,3067,4.3886,1.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,2.27,48.51
390,Peter Thomas Roth,Skin to Die For™ Mineral-Matte CC Cream SPF 30,38.0,95,3743,3.1158,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,3.28,
391,First Aid Beauty,Skin Rescue Oil-Free Mattifying Gel Moisturizer,30.0,300,15315,3.74,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.96,1.25,15.0
392,Kiehl's Since 1851,Ultra Facial Deep Moisture Balm,30.0,64,3855,4.625,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.66,7.23,17.65
393,philosophy,Hope In A Jar,39.0,6000,34104,3.9886,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.59,0.07,19.5
394,Briogeo,B. Well Organic + Australian 100% Tea Tree Oil,32.0,109,9606,4.8257,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,4.43,
395,Dermalogica,Calm Water Gel Moisturizer ,48.0,12,811,4.25,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.48,35.42,28.24
396,Laura Mercier,Flawless Skin Infusion de Rose Nourishing Oil,65.0,87,13473,4.5517,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,5.23,65.0
397,Dr Roebuck's,No Worries Hydrating Face Moisturizer,45.0,167,3550,4.1916,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.7,2.51,26.63
398,Too Cool For School,Egg Mellow Cream,36.0,481,15127,4.1331,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.18,0.86,20.45
400,First Aid Beauty,Eye Duty Triple Remedy Overnight Balm,38.0,171,11054,3.655,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.55,2.14,76.0
401,CLINIQUE,Moisture Surge Hydrating Supercharged Concentrate,39.0,189,16328,3.9788,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.16,2.11,24.38
402,CLINIQUE,Pep-Start HydroBlur Moisturizer,29.5,556,19786,3.6385,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.81,0.65,17.35
403,Indie Lee,Squalane Facial Oil,34.0,37,4876,4.5946,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,12.42,34.0
404,Kiehl's Since 1851,Ultra Facial Moisturizer,29.5,42,5868,4.1429,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.72,9.86,7.02
406,tarte,Tarteguard 30 Vegan Sunscreen Lotion Broad Spectrum SPF 30,32.0,558,27134,3.7294,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0.67,18.82
407,SK-II,Ultimate Revival Cream,385.0,57,1322,4.4386,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.31,7.79,240.62
408,rms beauty,Beauty Oil,78.0,58,9579,4.6034,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,7.94,78.0
409,High Beauty,High Five Cannabis Seed Facial Moisturizer,40.0,64,6566,4.5,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.97,7.03,23.53
410,Shiseido,Benefiance WrinkleResist24 Night Emulsion ,63.0,91,2988,4.2967,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.05,4.72,25.2
411,Dr. Dennis Gross Skincare,Instant Radiance Sun Defense Sunscreen Broad Spectrum SPF 40,42.0,37,3123,3.9189,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,10.59,24.71
412,Herbivore,Orchid Youth-Preserving Facial Oil,64.0,133,15106,4.5113,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,3.39,37.65
413,Kate Somerville,Deep Tissue Repair Cream with Peptide K8™,150.0,75,3844,4.16,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.95,5.55,150.0
414,L'Occitane,Immortelle Divine Cream,110.0,139,4702,3.8993,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.96,2.81,64.71
415,Fresh,Rose Hydrating Gel Cream,40.0,242,12882,4.0909,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.88,1.69,25.0
416,CLINIQUE,Repairwear Laser Focus Night Line Smoothing Cream for Very Dry to Dry Combination Skin,52.5,15,3458,4.5333,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.43,30.22,30.88
417,Clarins,Blue Orchid Face Treatment Oil,59.0,58,5946,4.569,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,7.88,59.0
418,REN Clean Skincare,V-Cense™ Revitalising Night Cream,57.0,272,5593,4.4154,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.86,1.62,33.53
419,Caudalie,Vinosource Intense Moisture Rescue Cream,39.0,167,5992,4.1856,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.79,2.51,30.0
420,Dermalogica,Super Rich Repair Moisturizer,92.0,9,530,4.8889,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.7,54.32,54.12
421,Clarins,Multi-Active Day Cream SPF 20 - All Skin Types,55.0,63,2530,3.6032,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.49,5.72,32.35
422,Tata Harper,Nourishing Oil Cleanser,76.0,74,6030,4.1351,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,5.59,18.54
423,Estée Lauder,Micro Essence Skin Activating Treatment Lotion Mini,62.0,2,2886,4.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,200.0,24.8
424,Lancôme,Visionnaire Advanced Multi-Correcting Cream,89.0,27,3489,4.6667,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.77,17.28,52.35
425,Erborian,Bamboo Matte Lotion,34.0,33,4619,4.0606,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.71,12.3,5.31
426,SK-II,Facial Treatment Cleansing Oil,70.0,90,4203,4.4778,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,4.98,8.33
427,L'Occitane,Shea Cleansing Oil,24.0,210,9005,4.4571,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,2.12,3.58
428,Dr. Dennis Gross Skincare,Dark Spot Sun Defense Broad Spectrum SPF 50,42.0,89,4627,3.7753,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,4.24,24.71
429,Dermalogica,Sound Sleep Cocoon Night Gel-Cream,80.0,105,315,4.5429,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33.33,4.33,47.06
430,Origins,Plantscription™ Retinol Night Moisturizer,64.0,3,1384,4.3333,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.22,144.44,64.0
431,Estée Lauder,Nutritious Super-Pomegranate Radiant Energy Night Crème/Mask,72.0,12,4995,4.4167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.24,36.81,
432,First Aid Beauty,Skin Rescue Daily Face Cream,22.0,510,10850,4.1765,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.7,0.82,11.0
433,lilah b.,Aglow™ Face Mist,48.0,47,12484,4.1489,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.38,8.83,48.0
435,REN Clean Skincare,Rosa Centifolia™ No.1 Purity Cleansing Balm,29.0,283,7335,4.212,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,1.49,8.79
436,KORRES,Wild Rose Vitamin C Brightening 24H Moisturiser,39.0,71,2620,3.0282,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.71,4.27,28.89
438,Estée Lauder,Set + Refresh Perfecting Makeup Mist,37.0,13,4796,4.6923,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,36.09,9.49
439,Dr. Brandt Skincare,Hyaluronic Facial Cream,72.0,4,567,4.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.71,112.5,42.35
440,Lancôme,Renergie Lift Multi-Action Ultra Firming and Dark Spot Correcting Moisturizer SPF 30,99.0,633,2004,4.4155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.59,0.7,58.24
441,Lancôme,Énergie de Vie The Smoothing & Plumping Water-Infused Cream,57.0,74,3917,4.2027,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.89,5.68,33.53
442,Dior,Capture Totale Intensive Night Restorative Crème,175.0,33,2654,4.4848,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.24,13.59,83.33
443,Shiseido,Essential Energy Moisturizing Gel Cream,48.0,31,2075,4.3871,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.49,14.15,28.24
